PDLMA,practical linguistic,local,IPA
a!&,ą́,ä́,ã́
a!,á,á,á
a,a,a,a
a_,ā,a̱,ā
a&,ą,ä,ã
a_&,ą̄,ä̱,ã̄
a,a,a,a
b,b,b,b
ch,ch,ch,t͡ʃ
e,e,e,e
e!&,ę́,ë́,ẽ́
e_,ē,e̱,ē
e!,é,é,é
e&,ę,ë,ẽ
e_&,ę̄,ë̱,ẽ̄
e,e,e,e
i_,ī,i̱,ī
i&,į,ï,ĩ
i,i,i,i
i!,í,í,í
i_&,į̄,ï̱,ĩ̄
i!&,į́,ḯ,ĩ́
i,i,i,i
j,j,j,h
k,k,k,k
ky,ky,ky,kʲ
l,l,l,l
ly,ly,ly,lʲ
m,m,m,m
n,n,n,n
ny,ny,ny,nʲ
o!,ó,ó,ó
o,o,o,o
o,o,o,o
o&,ǫ,ö,õ
o_&,ǭ,ö̱,ȭ
o!&,ǫ́,ö́,ṍ
o_,ō,o̱,ō
p,p,p,p
r,r,r,ɾ
s,s,s,s
t,t,t,t
ty,ty,ty,tʲ
ts,tz,ts,t͡s
u,u,u,u
u_&,ų̄,ü̱,ũ̄
u&,ų,ü,ũ
u_,ū,u̱,ū
u!,ú,ú,ú
u,u,u,u
u!&,ų́,ǘ,ṹ
sh,x,sh,ʃ
y,y,y,j
7,ʔ,',ʔ
w,w,u,w
kw,kw,ku,kʷ
 -,=,,=
-,-,,-
=,+,,+
